id,key,value,type
4822503,oneway,yes,regular
4822503,highway,trunk_link,regular
4822504,bicycle,no,regular
4822504,foot,no,regular
4822504,highway,trunk,regular
4822504,horse,no,regular
4822504,lanes,2,regular
4822504,maxspeed,70 mph,regular
4822504,oneway,yes,regular
4822504,ref,A4232,regular
4822504,maxspeed,GB:nsl_dual,source
4822504,surface,concrete,regular
4822521,ref,A4232,regular
4822521,foot,no,regular
4822521,note,"road is built to a high physical standard, and arguably a better route than the A48",regular
4822521,horse,no,regular
4822521,lanes,2,regular
4822521,oneway,yes,regular
4822521,bicycle,no,regular
4822521,highway,primary,regular
4822521,surface,concrete,regular
4822521,maxspeed,70 mph,regular
4822521,maxspeed,GB:nsl_dual,source
4822523,foot,no,regular
4822523,oneway,yes,regular
4822523,highway,primary_link,regular
4822523,surface,asphalt,regular
4822531,oneway,yes,regular
4822531,highway,primary_link,regular
4822531,surface,asphalt,regular
4822534,ref,A48,regular
4822534,oneway,yes,regular
4822534,highway,primary,regular
4822534,surface,asphalt,regular
4822534,maxspeed,40 mph,regular
4822535,ref,A48,regular
4822535,oneway,yes,regular
4822535,highway,primary,regular
4822535,surface,asphalt,regular
4822535,maxspeed,40 mph,regular
4822543,ref,A48,regular
4822543,lanes,3,regular
4822543,oneway,no,regular
4822543,highway,primary,regular
4822543,surface,asphalt,regular
4822543,maxspeed,40 mph,regular
4822547,ref,A4050,regular
4822547,name,Port Road,regular
4822547,lanes,2,regular
4822547,oneway,yes,regular
4822547,highway,primary,regular
4822547,surface,asphalt,regular
4822547,maxspeed,40 mph,regular
4822549,ref,A4050,regular
4822549,name,Port Road,regular
4822549,lanes,2,regular
4822549,oneway,yes,regular
4822549,highway,primary,regular
4822549,surface,asphalt,regular
4822549,maxspeed,40 mph,regular
4822556,ref,A4050,regular
4822556,name,Port Road,regular
4822556,lanes,1,regular
4822556,oneway,yes,regular
4822556,highway,primary,regular
4822556,maxspeed,40 mph,regular
4822560,ref,A4050,regular
4822560,lanes,1,regular
4822560,oneway,yes,regular
4822560,highway,primary,regular
4822560,surface,asphalt,regular
4822560,junction,roundabout,regular
4822560,maxspeed,50 mph,regular
4822570,ref,A4050,regular
4822570,name,Port Road,regular
4822570,lanes,2,regular
4822570,oneway,no,regular
4822570,highway,primary,regular
4822570,surface,asphalt,regular
4822570,maxspeed,50 mph,regular
4822583,lanes,1,regular
4822583,oneway,yes,regular
4822583,highway,primary,regular
4822583,surface,asphalt,regular
4822583,junction,roundabout,regular
4822583,maxspeed,50 mph,regular
4822585,ref,A4050,regular
4822585,name,Port Road,regular
4822585,lanes,2,regular
4822585,oneway,no,regular
4822585,highway,primary,regular
4822585,surface,asphalt,regular
4822585,maxspeed,50 mph,regular
4822592,ref,A4050,regular
4822592,name,Port Road,regular
4822592,lanes,2,regular
4822592,oneway,yes,regular
4822592,highway,primary,regular
4822592,surface,asphalt,regular
4822592,junction,roundabout,regular
4822592,maxspeed,50 mph,regular
4822598,foot,no,regular
4822598,lanes,3,regular
4822598,highway,primary,regular
4822598,surface,asphalt,regular
4822598,junction,roundabout,regular
4822599,oneway,yes,regular
4822599,highway,primary_link,regular
4822599,surface,asphalt,regular
4822606,oneway,yes,regular
4822606,highway,primary_link,regular
4822606,surface,asphalt,regular
4822607,foot,no,regular
4822607,oneway,yes,regular
4822607,highway,primary_link,regular
4822607,surface,asphalt,regular
4822608,lanes,2,regular
4822608,layer,1,regular
4822608,oneway,yes,regular
4822608,highway,primary_link,regular
4822608,surface,asphalt,regular
4825821,ref,A4232,regular
4825821,note,"road is built to a high physical standard, and arguably a better route than the A48",regular
4825821,lanes,2,regular
4825821,oneway,yes,regular
4825821,highway,primary,regular
4825821,surface,asphalt,regular
4825821,maxspeed,50 mph,regular
4825821,maxspeed,sign,source
4825823,highway,primary,regular
4825823,lanes,2,regular
4825823,maxspeed,50 mph,regular
4825823,oneway,yes,regular
4825823,ref,A4232,regular
4825823,maxspeed,sign,source
4825823,surface,asphalt,regular
4825827,name,Britannia Quay,regular
4825827,highway,unclassified,regular
4825827,cy,Plas Bute,name
4825859,ref,A4119,regular
4825859,name,Bute Place,regular
4825859,lanes,4,regular
4825859,highway,primary,regular
4825859,cy,Plas Bute,name
4825860,ref,A4119,regular
4825860,name,Corporation Road,regular
4825860,oneway,yes,regular
4825860,highway,primary,regular
4825863,ref,A4119,regular
4825863,name,Clarence Road,regular
4825863,highway,primary,regular
4825864,ref,A4119,regular
4825864,name,James Street,regular
4825864,highway,primary,regular
4825885,ref,A4160,regular
4825885,foot,yes,regular
4825885,name,Penarth Road,regular
4825885,lanes,3,regular
4825885,oneway,yes,regular
4825885,bicycle,yes,regular
4825885,highway,primary,regular
4825885,surface,asphalt,regular
4825885,maxspeed,30 mph,regular
4825886,ref,A4160,regular
4825886,foot,yes,regular
4825886,name,Penarth Road,regular
4825886,lanes,4,regular
4825886,oneway,no,regular
4825886,bicycle,yes,regular
4825886,highway,primary,regular
4825886,surface,asphalt,regular
4825886,maxspeed,30 mph,regular
4825887,ref,A4160,regular
4825887,foot,yes,regular
4825887,name,Penarth Road,regular
4825887,lanes,3,regular
4825887,oneway,yes,regular
4825887,bicycle,yes,regular
4825887,highway,primary,regular
4825887,surface,asphalt,regular
4825887,maxspeed,30 mph,regular
4826149,ref,A470,regular
4826149,foot,yes,regular
4826149,name,Callaghan Square,regular
4826149,lanes,2,regular
4826149,oneway,yes,regular
4826149,bicycle,yes,regular
4826149,highway,primary,regular
4826149,surface,asphalt,regular
4826149,maxspeed,30 mph,regular
4826150,ref,A470,regular
4826150,name,Callaghan Square,regular
4826150,oneway,yes,regular
4826150,highway,primary,regular
4826152,ref,A4160,regular
4826152,foot,yes,regular
4826152,name,Tresillian Way,regular
4826152,lanes,2,regular
4826152,oneway,yes,regular
4826152,bicycle,yes,regular
4826152,highway,primary,regular
4826152,cy,Ffordd Tresillian,name
4826152,surface,asphalt,regular
4826152,maxspeed,30 mph,regular
4826153,ref,A4160,regular
4826153,foot,yes,regular
4826153,name,Tresillian Way,regular
4826153,lanes,2,regular
4826153,oneway,yes,regular
4826153,bicycle,yes,regular
4826153,highway,primary,regular
4826153,cy,Ffordd Tresillian,name
4826153,surface,asphalt,regular
4826153,maxspeed,30 mph,regular
4833918,source,PGS,regular
4833918,natural,coastline,regular
4833965,ref,A4119,regular
4833965,name,Llantrisant Road,regular
4833965,lanes,2,regular
4833965,highway,primary,regular
4833988,source,PGS;Bing,regular
4833988,natural,coastline,regular
4880509,ref,A4119,regular
4880509,name,Llantrisant Road,regular
4880509,lanes,1,regular
4880509,oneway,yes,regular
4880509,highway,primary,regular
4880509,junction,roundabout,regular
4880509,direction,clockwise,regular
4880511,name,King's Road,regular
4880511,highway,residential,regular
4880515,amenity,parking,regular
4880904,highway,primary,regular
4880904,lanes,2,regular
4880904,maxspeed,30 mph,regular
4880904,name,Llantrisant Road,regular
4880904,ref,A4119,regular
4880905,oneway,yes,regular
4880905,highway,primary,regular
4880905,junction,roundabout,regular
4880905,direction,clockwise,regular
4880907,ref,A4119,regular
4880907,lanes,2,regular
4880907,highway,primary,regular
4881387,lanes,2,regular
4881387,layer,1,regular
4881387,oneway,yes,regular
4881387,highway,primary,regular
4881387,junction,roundabout,regular
4881401,oneway,yes,regular
4881401,highway,trunk_link,regular
4881401,surface,asphalt,regular
4881401,operator,Welsh Government,regular
4881402,lanes,2,regular
4881402,oneway,yes,regular
4881402,highway,trunk_link,regular
4881402,surface,asphalt,regular
4881402,operator,Welsh Government,regular
4881403,ref,A4054,regular
4881403,name,Cardiff Road,regular
4881403,oneway,no,regular
4881403,highway,primary,regular
4881404,oneway,yes,regular
4881404,highway,trunk_link,regular
4881404,surface,asphalt,regular
4881404,operator,Welsh Government,regular
4881686,name,Crofft-Y-Genau Road,regular
4881686,source,http://tiles.itoworld.com/os_locator/!/!/!.png,regular
4881686,highway,tertiary,regular
4881687,name,Castle Hill,regular
4881687,highway,tertiary,regular
4881689,name,Cardiff Road,regular
4881689,highway,tertiary,regular
4881690,foot,yes,regular
4881690,name,Cowbridge Road East,regular
4881690,lanes,2,regular
4881690,oneway,yes,regular
4881690,highway,trunk,regular
4881690,junction,roundabout,regular
4881947,highway,tertiary,regular
4881947,maxheight,"14'0""",regular
4881947,maxspeed,30 mph,regular
4882534,highway,tertiary,regular
4882534,maxspeed,30 mph,regular
4882534,name,Broad Street,regular
4882535,highway,secondary,regular
4882535,junction,roundabout,regular
4882535,direction,clockwise,regular
4882537,oneway,yes,regular
4882537,highway,primary_link,regular
4899446,highway,primary,regular
4899446,name,Cathedral Road,regular
4899446,oneway,no,regular
4899446,ref,A4119,regular
4899446,surface,paved,regular
4899885,ref,A4119,regular
4899885,name,Cardiff Road,regular
4899885,oneway,yes,regular
4899885,highway,primary,regular
4899888,ref,A4119,regular
4899888,name,Cardiff Road,regular
4899888,oneway,yes,regular
4899888,highway,primary,regular
4899891,name,Mill Lane,regular
4899891,oneway,yes,regular
4899891,highway,unclassified,regular
4899896,name,Pontcanna Street,regular
4899896,highway,residential,regular
4899896,surface,asphalt,regular
4899903,name,Plasturton Avenue,regular
4899903,oneway,yes,regular
4899903,highway,residential,regular
4899903,surface,asphalt,regular
4899905,name,Plasturton Avenue,regular
4899905,oneway,yes,regular
4899905,highway,residential,regular
4899909,name,Pitman Street,regular
4899909,source,http://tiles.itoworld.com/os_locator/!/!/!.png,regular
4899909,highway,residential,regular
4899915,name,Plasturton Place,regular
4899915,highway,residential,regular
4899915,created_by,Potlatch alpha,regular
4919063,lanes,2,regular
4919063,oneway,yes,regular
4919063,highway,primary,regular
4919063,surface,asphalt,regular
4919063,junction,roundabout,regular
4919063,maxspeed,30 mph,regular
4919063,direction,clockwise,regular
4919080,name,Cypress Drive,regular
4919080,lanes,2,regular
4919080,oneway,yes,regular
4919080,highway,tertiary,regular
4919080,surface,asphalt,regular
4919080,maxspeed,30 mph,regular
4919082,name,Cypress Drive,regular
4919082,lanes,2,regular
4919082,oneway,yes,regular
4919082,highway,tertiary,regular
4919082,surface,asphalt,regular
4919082,maxspeed,30 mph,regular
4919128,ref,A469,regular
4919128,name,Caerphilly Road,regular
4919128,lanes,3,regular
4919128,oneway,yes,regular
4919128,highway,primary,regular
4919128,surface,asphalt,regular
4919130,ref,A469,regular
4919130,name,Caerphilly Road,regular
4919130,lanes,3,regular
4919130,oneway,yes,regular
4919130,highway,primary,regular
4919130,surface,asphalt,regular
4919138,ref,A469,regular
4919138,name,Caerphilly Road,regular
4919138,lanes,4,regular
4919138,highway,primary,regular
4919138,surface,paved,regular
4919158,name,Smith Road,regular
4919158,highway,residential,regular
4919158,surface,asphalt,regular
4919161,name,Watkins Square,regular
4919161,highway,residential,regular
4962207,ref,A4050,regular
4962207,lanes,2,regular
4962207,oneway,no,regular
4962207,highway,primary,regular
4962207,surface,asphalt,regular
4962207,maxspeed,50 mph,regular
4962282,ref,A4050,regular
4962282,lanes,2,regular
4962282,oneway,no,regular
4962282,highway,primary,regular
4962282,surface,asphalt,regular
4962282,maxspeed,50 mph,regular
4962290,lanes,2,regular
4962290,oneway,yes,regular
4962290,highway,primary,regular
4962290,junction,roundabout,regular
4962290,maxspeed,50 mph,regular
