id,user,uid,version,changeset,timestamp
7655484,DanGregory,2565445,5,41124653,2016-07-30T10:05:47Z
7655486,DanGregory,2565445,5,41124653,2016-07-30T10:05:48Z
7655490,-Anarchy-,2304265,2,25275743,2014-09-06T21:00:00Z
7655491,-Anarchy-,2304265,7,25275743,2014-09-06T21:00:00Z
8025805,davidthomas,185637,7,2974009,2009-10-28T15:20:39Z
8145395,Broken Star,711187,6,15999378,2013-05-06T15:53:22Z
8145398,Huw Waters,327578,6,9843700,2011-11-16T11:51:45Z
8145399,Huw Waters,327578,8,19003595,2013-11-19T22:37:24Z
9876122,Huw Waters,327578,33,8804802,2011-07-23T13:49:48Z
9876155,bienjamu,2404968,15,47865740,2017-04-17T10:34:11Z
9876247,bienjamu,2404968,18,48879073,2017-05-22T07:31:32Z
9876365,bienjamu,2404968,10,48879073,2017-05-22T07:31:27Z
9876470,bienjamu,2404968,15,47865740,2017-04-17T10:45:01Z
9876490,bienjamu,2404968,7,47865740,2017-04-17T10:41:28Z
9876523,Jay456,439547,16,52193518,2017-09-19T21:06:04Z
9876886,Eriks Zelenka,41362,10,12592249,2012-08-02T23:26:40Z
9876907,Eriks Zelenka,41362,9,12592249,2012-08-02T23:26:40Z
9886653,msg,48918,9,14050705,2012-11-26T21:02:31Z
9886707,Deanna Earley,2231,7,692175,2008-01-24T21:38:09Z
9886784,elliott,13461,4,605717,2008-09-11T19:15:44Z
9887050,msg,48918,23,17846079,2013-09-15T09:28:26Z
9887151,Huw Waters,327578,12,8772503,2011-07-19T21:32:37Z
9887289,andrewpmk,1679,17,2219757,2009-08-21T08:14:03Z
9887327,Huw Waters,327578,4,8304902,2011-05-31T19:46:21Z
9887334,msg,48918,8,2250434,2009-08-24T22:30:12Z
9887343,Huw Waters,327578,6,8688234,2011-07-10T22:26:26Z
9887346,JonBritton,48155,7,10711663,2012-02-17T14:33:16Z
9887366,Huw Waters,327578,7,8772503,2011-07-19T21:46:47Z
9887367,Huw Waters,327578,9,8772503,2011-07-19T21:46:47Z
9887405,Deanna Earley,2231,11,692175,2008-01-24T21:38:09Z
9887845,Huw Waters,327578,10,8780019,2011-07-20T16:06:48Z
9887852,Huw Waters,327578,10,8772503,2011-07-19T21:32:35Z
9887855,Huw Waters,327578,7,8772503,2011-07-19T21:32:35Z
9887881,Eriks Zelenka,41362,4,1948641,2009-07-26T20:23:05Z
9925873,Jay456,439547,23,27757641,2014-12-28T16:52:03Z
9925882,Welshie,508,5,378860,2007-12-20T22:45:29Z
9926067,msg,48918,4,2045265,2009-08-05T12:38:08Z
9926089,andrewpmk,1679,4,2219738,2009-08-21T08:12:37Z
9926158,gbp,241161,3,37108485,2016-02-09T19:08:45Z
9926253,Huw Waters,327578,8,8772503,2011-07-19T21:46:45Z
9926288,woodiwiss,6435413,8,52106670,2017-09-16T23:31:37Z
9926309,Huw Waters,327578,8,8772503,2011-07-19T21:32:36Z
